Task_Name,Task_Desc,Date_Time,File_Name,Log_Message,Action_Taken
Upload,Uploading File,2021-03-31 17:52:31.237325,wafer_29012020_060756.csv,Uploaded Successfully,
Upload,Uploading File,2021-03-31 17:52:36.912650,wafer_31012020_090811.csv,Uploaded Successfully,
Upload,Uploading From: Temp_Files/Predicting/BadFiles/ To: Predicting/BadFiles/,2021-03-31 17:52:36.912650,,Completed,10 files are uploaded successfully
Upload,Deleting Folder from Bucket,2021-03-31 17:52:42.437966,,Deleted,Folder Predicting/TransformedFiles/ is successfully deleted from Bucket faultdetectioninwafer
Upload,Uploading From: Temp_Files/Predicting/TransformedFiles/ To: Predicting/TransformedFiles/,2021-03-31 17:52:42.437966,,Started,
Upload,Uploading File,2021-03-31 17:52:49.150350,wafer_13012020_090817.csv,Uploaded Successfully,
Upload,Uploading File,2021-03-31 17:52:55.563716,wafer_16012020_051629.csv,Uploaded Successfully,
Upload,Uploading File,2021-03-31 17:52:58.538887,wafer_20022020_090716.csv,Uploaded Successfully,
Upload,Uploading File,2021-03-31 17:53:05.059260,wafer_21012020_080913.csv,Uploaded Successfully,
Upload,Uploading File,2021-03-31 17:53:11.469626,wafer_23012020_041211.csv,Uploaded Successfully,
Upload,Uploading File,2021-03-31 17:53:17.884993,wafer_27012020_080911.csv,Uploaded Successfully,
Upload,Uploading File,2021-03-31 17:53:24.355363,wafer_28012020_090817.csv,Uploaded Successfully,
Upload,Uploading File,2021-03-31 17:53:31.143752,wafer_28042020_031911.csv,Uploaded Successfully,
Upload,Uploading File,2021-03-31 17:53:37.532117,wafer_29012020_050617.csv,Uploaded Successfully,
Upload,Uploading From: Temp_Files/Predicting/TransformedFiles/ To: Predicting/TransformedFiles/,2021-03-31 17:53:37.532117,,Completed,9 files are uploaded successfully
Upload,Deleting Folder from Bucket,2021-03-31 17:53:41.056319,,Deleted,Folder Predicting/SingleFile/ is successfully deleted from Bucket faultdetectioninwafer
Upload,Uploading From: Temp_Files/Predicting/SingleFile/ To: Predicting/SingleFile/,2021-03-31 17:53:41.056319,,Started,
Upload,Uploading File,2021-03-31 17:54:32.474259,SingleFile.csv,Uploaded Successfully,
Upload,Uploading File,2021-03-31 17:56:21.623502,SingleScaled_File.csv,Uploaded Successfully,
Upload,Uploading From: Temp_Files/Predicting/SingleFile/ To: Predicting/SingleFile/,2021-03-31 17:56:21.623502,,Completed,2 files are uploaded successfully
Upload,Deleting Folder from Bucket,2021-03-31 17:56:24.641675,,Deleted,Folder Predicting/LogFiles/ is successfully deleted from Bucket faultdetectioninwafer
Upload,Uploading From: Temp_Files/Predicting/LogFiles/ To: Predicting/LogFiles/,2021-03-31 17:56:24.641675,,Started,
Upload,Uploading File,2021-03-31 17:57:12.585417,Logs_of_AllTransactions.csv,Uploaded Successfully,
Upload,Uploading File,2021-03-31 17:57:13.144449,Logs_of_Downloading.csv,Uploaded Successfully,
Upload,Uploading File,2021-03-31 17:57:13.717482,Logs_of_LocalFolderCreation.csv,Uploaded Successfully,
Upload,Uploading File,2021-03-31 17:57:14.233512,Logs_of_Merging.csv,Uploaded Successfully,
Upload,Uploading File,2021-03-31 17:57:14.769542,Logs_of_Predictions.csv,Uploaded Successfully,
